Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
13/11/2022,2022,Standard,St. Gilloise,3.4,3.5,2.0,2,3,A,2,1,8,2,2,1,62,12,3,0,11,2,2,0,62,12
13/11/2022,2022,Club Brugge,Antwerp,1.83,3.75,4.0,2,2,D,2,1,7,4,2,1,75,12,0,3,1,6,0,1,75,12
12/11/2022,2022,Charleroi,Mechelen,2.2,3.5,3.0,0,5,A,1,1,3,3,0,0,38,12,0,3,1,9,0,3,38,12
12/11/2022,2022,Waregem,Eupen,2.3,3.75,2.8,5,5,D,1,2,5,10,0,2,25,0,0,3,4,11,0,2,25,0
12/11/2022,2022,St Truiden,Cercle Brugge,2.4,3.4,2.8,0,1,A,1,1,2,2,0,0,29,29,1,1,3,3,0,0,29,29
12/11/2022,2022,Westerlo,Oostende,1.75,4.0,4.2,6,0,H,1,1,6,5,1,0,57,14,0,2,3,8,0,2,57,14
11/11/2022,2022,Oud-Heverlee Leuven,Seraing,1.55,4.0,5.75,5,0,H,0,2,1,5,0,1,43,14,1,1,5,4,1,0,43,14
06/11/2022,2022,Oostende,Kortrijk,2.1,3.4,3.3,3,1,H,1,2,4,9,0,1,43,0,0,2,4,8,0,1,43,0
06/11/2022,2022,Antwerp,Anderlecht,2.15,3.4,3.3,0,0,D,2,1,6,3,2,1,88,0,1,2,5,9,1,1,88,0
06/11/2022,2022,St. Gilloise,Westerlo,1.57,4.0,5.5,1,1,D,2,0,6,3,1,0,71,14,2,1,5,6,2,1,71,14
06/11/2022,2022,Gent,Club Brugge,2.7,3.5,2.5,2,0,H,2,1,8,5,1,0,57,14,1,1,3,5,0,1,57,14
05/11/2022,2022,Eupen,Standard,3.1,3.4,2.25,2,0,H,1,2,5,8,1,1,29,0,2,1,4,2,1,1,29,0
05/11/2022,2022,Seraing,St Truiden,3.6,3.2,2.1,1,2,A,0,2,2,4,0,0,0,14,1,2,3,7,0,2,0,14
05/11/2022,2022,Cercle Brugge,Oud-Heverlee Leuven,1.83,3.8,3.8,2,1,H,2,0,11,4,2,0,43,43,1,1,7,6,1,1,43,43
05/11/2022,2022,Mechelen,Waregem,1.72,3.75,4.5,2,2,D,2,1,5,4,1,1,50,12,1,2,4,5,1,1,50,12
04/11/2022,2022,Genk,Charleroi,1.4,4.75,7.5,4,1,H,3,0,11,3,2,0,88,12,1,2,3,6,0,1,88,12
30/10/2022,2022,Charleroi,Antwerp,3.4,3.5,2.05,1,0,H,0,2,4,6,0,0,29,14,1,2,3,5,1,1,29,14
30/10/2022,2022,Oud-Heverlee Leuven,Gent,3.75,3.6,1.95,1,1,D,1,2,3,6,0,1,50,0,1,2,4,3,1,1,50,0
30/10/2022,2022,Seraing,St. Gilloise,6.0,4.2,1.53,1,2,A,0,2,1,4,0,1,0,17,3,0,11,2,2,0,0,17
30/10/2022,2022,Anderlecht,Eupen,1.44,4.75,6.0,4,2,H,1,2,4,3,1,0,43,14,1,2,3,7,0,1,43,14
29/10/2022,2022,Club Brugge,Oostende,1.25,6.0,10.0,4,2,H,2,1,6,2,2,1,71,14,0,1,3,6,0,1,71,14
29/10/2022,2022,Westerlo,St Truiden,2.2,3.25,3.4,2,3,A,2,0,6,3,1,0,67,17,1,2,3,5,1,2,67,17
29/10/2022,2022,Kortrijk,Cercle Brugge,3.6,3.6,1.95,1,1,D,1,2,3,6,0,2,14,14,2,1,6,5,0,0,14,14
29/10/2022,2022,Waregem,Standard,3.0,3.6,2.2,0,3,A,1,2,5,10,0,2,29,0,2,1,3,3,0,1,29,0
28/10/2022,2022,Genk,Mechelen,1.36,5.25,7.0,3,1,H,3,0,9,2,1,0,86,14,1,2,4,7,1,2,86,14
23/10/2022,2022,Oostende,Waregem,2.05,3.5,3.4,2,1,H,1,2,3,8,0,1,33,0,1,2,3,5,1,2,33,0
23/10/2022,2022,Standard,Anderlecht,3.0,3.5,2.2,5,0,H,2,1,6,2,2,1,57,14,1,2,6,6,1,0,57,14
23/10/2022,2022,Gent,Seraing,1.36,5.0,7.0,2,1,H,2,1,8,4,2,0,50,17,1,1,5,4,1,0,50,17
23/10/2022,2022,Antwerp,Genk,2.62,3.4,2.45,1,3,A,3,0,7,1,2,0,100,0,3,0,5,2,0,0,100,0
